,Country,Population,variable,2000,2010,2016
151,Spain,40904,All Causes,464.2216,360.4399,331.9838
152,Sri Lanka,18782,All Causes,817.7683,669.099,629.2859
153,Sudan,27251,All Causes,1365.858,1152.033,1068.635
154,Suriname,472,All Causes,1012.425,857.6142,796.6242
155,Swaziland,1061,All Causes,2080.19,1911.086,1550.523
156,Sweden,8882,All Causes,458.3407,387.6378,362.1833
157,Switzerland,7167,All Causes,447.7077,353.4172,325.9652
158,Syrian Arab Republic,16411,All Causes,767.4968,741.3136,1137.532
159,Tajikistan,6216,All Causes,1026.162,897.5692,858.5976
160,Thailand,62958,All Causes,798.8171,665.1514,600.0781
161,The former Yugoslav Republic of Macedonia,2035,All Causes,817.4522,719.2162,666.0419
162,Timor-Leste,872,All Causes,1424.434,1054.798,978.4253
163,Togo,4970,All Causes,1803.108,1628.231,1451.339
164,Tonga,98,All Causes,846.3311,776.6169,735.6022
165,Trinidad and Tobago,1268,All Causes,919.5045,839.5723,786.5909
166,Tunisia,9699,All Causes,750.2349,676.4757,626.3177
167,Turkey,63240,All Causes,824.6993,664.9346,586.2716
168,Turkmenistan,4516,All Causes,1105.385,995.6599,969.0425
169,Uganda,24039,All Causes,2194.91,1469.303,1236.045
170,Ukraine,48840,All Causes,1087.474,956.7831,789.3108
171,United Arab Emirates,3155,All Causes,715.4846,620.0105,574.4663
172,United Kingdom,58951,All Causes,532.4256,417.451,390.1704
173,United Republic of Tanzania,34178,All Causes,1882.214,1386.016,1151.964
174,United States of America,281983,All Causes,564.2555,483.0742,492.6945
175,Uruguay,3321,All Causes,641.8753,580.7732,537.7245
176,Uzbekistan,24849,All Causes,948.8429,838.1736,776.7071
177,Vanuatu,185,All Causes,1009.761,885.9596,823.4343
178,Venezuela (Bolivarian Republic of),24488,All Causes,741.1889,676.7645,653.7292
179,Viet Nam,80286,All Causes,658.6458,600.3719,562.7865
180,Yemen,17875,All Causes,1339.242,1200.03,1155.23
181,Zambia,10531,All Causes,2426.753,1477.478,1216.551
182,Zimbabwe,12222,All Causes,2464.788,1810.448,1281.733
183,Afghanistan,20094,"Communicable, maternal, perinatal and nutritional conditions",559.5589,345.223,249.939
184,Albania,3122,"Communicable, maternal, perinatal and nutritional conditions",50.52316,29.46362,24.23954
185,Algeria,31184,"Communicable, maternal, perinatal and nutritional conditions",112.5507,79.34516,65.81084
186,Angola,16441,"Communicable, maternal, perinatal and nutritional conditions",1139.892,696.5748,555.1508
187,Antigua and Barbuda,84,"Communicable, maternal, perinatal and nutritional conditions",93.01495,80.45302,78.23227
188,Argentina,37057,"Communicable, maternal, perinatal and nutritional conditions",83.76664,85.40377,85.20833
189,Armenia,3070,"Communicable, maternal, perinatal and nutritional conditions",52.30369,41.5816,26.46046
190,Australia,19066,"Communicable, maternal, perinatal and nutritional conditions",20.80146,15.31785,15.56045
191,Austria,8069,"Communicable, maternal, perinatal and nutritional conditions",15.52833,12.08551,11.23189
192,Azerbaijan,8123,"Communicable, maternal, perinatal and nutritional conditions",148.1211,80.65781,56.22925
193,Bahamas,298,"Communicable, maternal, perinatal and nutritional conditions",151.6252,94.94586,97.54122
194,Bahrain,665,"Communicable, maternal, perinatal and nutritional conditions",43.85908,32.35855,25.70693
195,Bangladesh,131581,"Communicable, maternal, perinatal and nutritional conditions",380.0053,233.6393,163.441
196,Barbados,270,"Communicable, maternal, perinatal and nutritional conditions",90.87309,92.56138,92.5759
197,Belarus,9934,"Communicable, maternal, perinatal and nutritional conditions",33.42644,31.0091,25.9482
198,Belgium,10282,"Communicable, maternal, perinatal and nutritional conditions",37.52676,28.74997,28.33133
199,Belize,247,"Communicable, maternal, perinatal and nutritional conditions",126.2354,132.1192,142.6962
200,Benin,6866,"Communicable, maternal, perinatal and nutritional conditions",731.8771,559.3292,487.7723
201,Bhutan,573,"Communicable, maternal, perinatal and nutritional conditions",311.0713,182.0589,142.5301
202,Bolivia (Plurinational State of),8340,"Communicable, maternal, perinatal and nutritional conditions",300.6444,186.5772,145.7399
203,Bosnia and Herzegovina,3767,"Communicable, maternal, perinatal and nutritional conditions",24.00221,18.21475,15.46087
204,Botswana,1728,"Communicable, maternal, perinatal and nutritional conditions",1424.264,579.3136,386.6263
205,Brazil,175288,"Communicable, maternal, perinatal and nutritional conditions",126.6804,95.30265,87.48034
206,Brunei Darussalam,333,"Communicable, maternal, perinatal and nutritional conditions",61.00489,45.41543,47.20561
207,Bulgaria,7998,"Communicable, maternal, perinatal and nutritional conditions",43.4389,28.37184,23.57323
208,Burkina Faso,11608,"Communicable, maternal, perinatal and nutritional conditions",1090.513,707.9248,560.5378
209,Burundi,6401,"Communicable, maternal, perinatal and nutritional conditions",917.4984,685.4908,549.0213
210,Cambodia,12152,"Communicable, maternal, perinatal and nutritional conditions",580.1473,271.4017,199.3127
211,Cameroon,15274,"Communicable, maternal, perinatal and nutritional conditions",1020.362,735.903,621.5098
212,Canada,30736,"Communicable, maternal, perinatal and nutritional conditions",22.56462,21.08256,20.35571
213,Cape Verde,435,"Communicable, maternal, perinatal and nutritional conditions",224.2443,166.6526,134.717
214,Central African Republic,3755,"Communicable, maternal, perinatal and nutritional conditions",1480.816,1113.383,913.7719
215,Chad,8343,"Communicable, maternal, perinatal and nutritional conditions",1064.4,853.2472,751.1893
216,Chile,15263,"Communicable, maternal, perinatal and nutritional conditions",58.06161,40.64171,38.02745
217,China,1290291,"Communicable, maternal, perinatal and nutritional conditions",74.76377,38.3126,27.66094
218,Colombia,40404,"Communicable, maternal, perinatal and nutritional conditions",81.63002,68.39249,62.54572
219,Comoros,542,"Communicable, maternal, perinatal and nutritional conditions",551.0728,483.8874,407.2435
220,Congo,3226,"Communicable, maternal, perinatal and nutritional conditions",914.0585,591.4869,514.1036
221,Costa Rica,3925,"Communicable, maternal, perinatal and nutritional conditions",40.32302,32.73068,30.50338
222,Côte d'Ivoire,16687,"Communicable, maternal, perinatal and nutritional conditions",1176.895,828.1902,700.8039
223,Croatia,4428,"Communicable, maternal, perinatal and nutritional conditions",28.52675,13.68383,14.91019
224,Cuba,11151,"Communicable, maternal, perinatal and nutritional conditions",49.60841,38.05027,41.136
225,Cyprus,943,"Communicable, maternal, perinatal and nutritional conditions",23.99248,18.8871,18.55863
226,Czechia,10290,"Communicable, maternal, perinatal and nutritional conditions",24.44623,26.54734,27.05025
227,Democratic People's Republic of Korea,22929,"Communicable, maternal, perinatal and nutritional conditions",475.8038,144.5396,84.31487
228,Democratic Republic of the Congo,47076,"Communicable, maternal, perinatal and nutritional conditions",983.5102,724.2938,600.2066
229,Denmark,5341,"Communicable, maternal, perinatal and nutritional conditions",21.02966,29.91109,26.25613
230,Djibouti,718,"Communicable, maternal, perinatal and nutritional conditions",694.6687,543.5476,427.8905
231,Dominican Republic,8563,"Communicable, maternal, perinatal and nutritional conditions",177.2979,132.8086,96.06209
232,Ecuador,12629,"Communicable, maternal, perinatal and nutritional conditions",117.8282,90.13739,77.98786
233,Egypt,69906,"Communicable, maternal, perinatal and nutritional conditions",113.2684,76.68792,60.99127
234,El Salvador,5868,"Communicable, maternal, perinatal and nutritional conditions",134.6655,81.40045,71.85326
235,Equatorial Guinea,614,"Communicable, maternal, perinatal and nutritional conditions",762.7442,597.2021,523.2916
236,Eritrea,3393,"Communicable, maternal, perinatal and nutritional conditions",725.2056,479.9971,387.4137
237,Estonia,1399,"Communicable, maternal, perinatal and nutritional conditions",35.78481,17.77906,19.3612
238,Ethiopia,66537,"Communicable, maternal, perinatal and nutritional conditions",1017.497,538.0523,388.5972
239,Fiji,811,"Communicable, maternal, perinatal and nutritional conditions",116.3135,99.28647,89.13872
240,Finland,5188,"Communicable, maternal, perinatal and nutritional conditions",34.88957,9.401519,6.060452
241,France,59608,"Communicable, maternal, perinatal and nutritional conditions",28.80666,20.87368,18.87198
242,Gabon,1231,"Communicable, maternal, perinatal and nutritional conditions",708.6277,607.6173,437.9138
243,Gambia,1232,"Communicable, maternal, perinatal and nutritional conditions",729.6736,617.7265,543.2666
244,Georgia,4722,"Communicable, maternal, perinatal and nutritional conditions",63.52675,40.26089,33.83929
245,Germany,81488,"Communicable, maternal, perinatal and nutritional conditions",22.05246,21.27054,20.74986
246,Ghana,18939,"Communicable, maternal, perinatal and nutritional conditions",833.0378,591.554,471.6529
247,Greece,11142,"Communicable, maternal, perinatal and nutritional conditions",23.24211,23.34538,36.09774
248,Grenada,102,"Communicable, maternal, perinatal and nutritional conditions",126.6812,81.17975,83.45874
249,Guatemala,11651,"Communicable, maternal, perinatal and nutritional conditions",320.1442,184.025,141.0101
250,Guinea,8809,"Communicable, maternal, perinatal and nutritional conditions",1029.848,686.0886,591.9573
251,Guinea-Bissau,1243,"Communicable, maternal, perinatal and nutritional conditions",892.1638,798.2932,701.9843
252,Guyana,753,"Communicable, maternal, perinatal and nutritional conditions",240.0247,204.1052,205.8592
253,Haiti,8549,"Communicable, maternal, perinatal and nutritional conditions",501.7921,329.4343,265.3527
254,Honduras,6524,"Communicable, maternal, perinatal and nutritional conditions",155.6717,87.26574,67.38452
255,Hungary,10221,"Communicable, maternal, perinatal and nutritional conditions",22.71158,15.26741,15.42548
256,Iceland,280,"Communicable, maternal, perinatal and nutritional conditions",25.10519,15.36287,13.1219
257,India,1053051,"Communicable, maternal, perinatal and nutritional conditions",411.2937,288.5487,222.4284
258,Indonesia,211540,"Communicable, maternal, perinatal and nutritional conditions",299.7554,222.325,185.9423
259,Iran (Islamic Republic of),66132,"Communicable, maternal, perinatal and nutritional conditions",73.44769,53.17057,43.62526
260,Iraq,23565,"Communicable, maternal, perinatal and nutritional conditions",104.1124,82.13797,67.76565
261,Ireland,3849,"Communicable, maternal, perinatal and nutritional conditions",55.58862,24.23084,19.27379
262,Israel,6014,"Communicable, maternal, perinatal and nutritional conditions",32.70841,27.12742,33.05315
263,Italy,57294,"Communicable, maternal, perinatal and nutritional conditions",18.6923,14.05718,17.545
264,Jamaica,2657,"Communicable, maternal, perinatal and nutritional conditions",121.6783,86.68462,74.9847
265,Japan,127534,"Communicable, maternal, perinatal and nutritional conditions",42.20055,35.91225,30.68771
266,Jordan,5103,"Communicable, maternal, perinatal and nutritional conditions",67.61171,51.81118,43.69059
267,Kazakhstan,15057,"Communicable, maternal, perinatal and nutritional conditions",118.1711,64.98288,34.54273
268,Kenya,31450,"Communicable, maternal, perinatal and nutritional conditions",1189.962,715.9456,524.5204
269,Kiribati,84,"Communicable, maternal, perinatal and nutritional conditions",316.5936,263.6747,232.9082
270,Kuwait,2051,"Communicable, maternal, perinatal and nutritional conditions",84.78191,106.8259,164.2654
271,Kyrgyzstan,4921,"Communicable, maternal, perinatal and nutritional conditions",127.6475,77.72244,50.52231
272,Lao People's Democratic Republic,5329,"Communicable, maternal, perinatal and nutritional conditions",548.4915,331.8283,247.1142
273,Latvia,2384,"Communicable, maternal, perinatal and nutritional conditions",38.3439,26.71946,26.92033
274,Lebanon,3235,"Communicable, maternal, perinatal and nutritional conditions",45.04244,29.29362,23.45869
275,Lesotho,1869,"Communicable, maternal, perinatal and nutritional conditions",1103.715,988.8143,964.0989
276,Liberia,2885,"Communicable, maternal, perinatal and nutritional conditions",1131.889,711.2415,593.6535
277,Libya,5356,"Communicable, maternal, perinatal and nutritional conditions",86.29365,60.89172,59.27182
278,Lithuania,3502,"Communicable, maternal, perinatal and nutritional conditions",27.49368,24.36388,30.10921
279,Luxembourg,436,"Communicable, maternal, perinatal and nutritional conditions",22.64163,23.22335,16.27712
280,Madagascar,15767,"Communicable, maternal, perinatal and nutritional conditions",596.6429,426.0279,360.9644
281,Malawi,11376,"Communicable, maternal, perinatal and nutritional conditions",1463.178,853,541.9
282,Malaysia,23186,"Communicable, maternal, perinatal and nutritional conditions",151.3714,130.3901,110.1671
283,Maldives,280,"Communicable, maternal, perinatal and nutritional conditions",92.70487,41.30764,33.15969
284,Mali,10968,"Communicable, maternal, perinatal and nutritional conditions",1020.339,703.0563,598.0663
285,Malta,397,"Communicable, maternal, perinatal and nutritional conditions",45.14921,22.77678,26.86637
286,Mauritania,2709,"Communicable, maternal, perinatal and nutritional conditions",659.5898,559,461.6434
287,Mauritius,1185,"Communicable, maternal, perinatal and nutritional conditions",67.13951,61.38363,51.01046
288,Mexico,101720,"Communicable, maternal, perinatal and nutritional conditions",85.96664,60.81122,51.92146
289,Micronesia (Federated States of),107,"Communicable, maternal, perinatal and nutritional conditions",183.9964,154.6814,134.2627
290,Mongolia,2397,"Communicable, maternal, perinatal and nutritional conditions",145.016,77.02868,56.07968
291,Montenegro,614,"Communicable, maternal, perinatal and nutritional conditions",26.27233,16.84017,12.30572
292,Morocco,28850,"Communicable, maternal, perinatal and nutritional conditions",151.3699,99.44373,76.45074
293,Mozambique,18068,"Communicable, maternal, perinatal and nutritional conditions",1063.841,899.6401,692.301
294,Myanmar,46095,"Communicable, maternal, perinatal and nutritional conditions",484.1382,298.9857,225.4983
295,Namibia,1899,"Communicable, maternal, perinatal and nutritional conditions",808.8261,563.1158,477.8466
296,Nepal,23741,"Communicable, maternal, perinatal and nutritional conditions",452.384,271.4362,204.6707
297,Netherlands,15926,"Communicable, maternal, perinatal and nutritional conditions",37.015,26.01339,20.94219
298,New Zealand,3859,"Communicable, maternal, perinatal and nutritional conditions",14.65523,14.69196,16.49016
299,Nicaragua,5027,"Communicable, maternal, perinatal and nutritional conditions",115.8164,71.96651,53.6653
300,Niger,11353,"Communicable, maternal, perinatal and nutritional conditions",1125.281,743.2917,608.1955
301,Nigeria,122352,"Communicable, maternal, perinatal and nutritional conditions",1283.381,1025.972,881.7729
302,Norway,4499,"Communicable, maternal, perinatal and nutritional conditions",31.38765,23.67011,22.98907
303,Oman,2268,"Communicable, maternal, perinatal and nutritional conditions",84.5521,54.07453,45.92935
304,Pakistan,138523,"Communicable, maternal, perinatal and nutritional conditions",355.1592,277.6663,232.7627
305,Panama,3030,"Communicable, maternal, perinatal and nutritional conditions",89.54409,89.58215,75.76799
306,Papua New Guinea,5572,"Communicable, maternal, perinatal and nutritional conditions",493.0985,406.5873,295.8243
307,Paraguay,5303,"Communicable, maternal, perinatal and nutritional conditions",116.0545,87.05022,78.74095
308,Peru,25915,"Communicable, maternal, perinatal and nutritional conditions",203.9293,139.9076,116.8675
309,Philippines,77992,"Communicable, maternal, perinatal and nutritional conditions",306.0009,249.7896,232.8065
310,Poland,38551,"Communicable, maternal, perinatal and nutritional conditions",32.84997,26.17246,27.91655
311,Portugal,10355,"Communicable, maternal, perinatal and nutritional conditions",55.04905,41.54894,37.29293
312,Qatar,592,"Communicable, maternal, perinatal and nutritional conditions",29.05262,20.7787,19.4424
313,Republic of Korea,47386,"Communicable, maternal, perinatal and nutritional conditions",42.91244,31.28505,34.55218
314,Republic of Moldova,4201,"Communicable, maternal, perinatal and nutritional conditions",70.96639,57.26493,47.45838
315,Romania,22128,"Communicable, maternal, perinatal and nutritional conditions",58.19999,37.0581,38.32479
316,Russian Federation,146397,"Communicable, maternal, perinatal and nutritional conditions",68.7926,57.96083,52.2426
317,Rwanda,8026,"Communicable, maternal, perinatal and nutritional conditions",1077.493,419.573,299.7025
318,Saint Lucia,157,"Communicable, maternal, perinatal and nutritional conditions",87.7347,61.04338,62.31185
319,Saint Vincent and the Grenadines,108,"Communicable, maternal, perinatal and nutritional conditions",123.4267,129.6394,110.4666
320,Samoa,175,"Communicable, maternal, perinatal and nutritional conditions",100.2743,72.97118,61.60625
321,Sao Tome and Principe,139,"Communicable, maternal, perinatal and nutritional conditions",425.4907,294.6862,222.7412
322,Saudi Arabia,20764,"Communicable, maternal, perinatal and nutritional conditions",96.76758,75.94486,66.61354
323,Senegal,9884,"Communicable, maternal, perinatal and nutritional conditions",683.9311,429.7297,361.9519
324,Serbia,9488,"Communicable, maternal, perinatal and nutritional conditions",31.33732,18.24042,20.11033
325,Seychelles,81,"Communicable, maternal, perinatal and nutritional conditions",95.99695,96.18268,89.5471
326,Sierra Leone,4564,"Communicable, maternal, perinatal and nutritional conditions",1646.395,1045.987,853.8094
327,Singapore,3914,"Communicable, maternal, perinatal and nutritional conditions",73.91214,69.62251,75.07434
328,Slovakia,5399,"Communicable, maternal, perinatal and nutritional conditions",36.76394,36.0615,29.18348
329,Slovenia,1988,"Communicable, maternal, perinatal and nutritional conditions",33.55429,17.87617,17.79151
330,Solomon Islands,413,"Communicable, maternal, perinatal and nutritional conditions",205.5677,165.2999,134.3217
331,Somalia,9011,"Communicable, maternal, perinatal and nutritional conditions",1033.868,853.6525,718.4191
332,South Africa,45728,"Communicable, maternal, perinatal and nutritional conditions",559.4546,674.2442,412.2411
333,South Sudan,6701,"Communicable, maternal, perinatal and nutritional conditions",1079.216,871.2,726.4985
334,Spain,40904,"Communicable, maternal, perinatal and nutritional conditions",24.99025,16.97038,17.5409
335,Sri Lanka,18782,"Communicable, maternal, perinatal and nutritional conditions",80.16321,53.49866,49.50953
336,Sudan,27251,"Communicable, maternal, perinatal and nutritional conditions",401.3624,293.2095,228.0296
337,Suriname,472,"Communicable, maternal, perinatal and nutritional conditions",149.854,116.0668,100.5259
338,Swaziland,1061,"Communicable, maternal, perinatal and nutritional conditions",1174.4,1023.304,647.5241
339,Sweden,8882,"Communicable, maternal, perinatal and nutritional conditions",23.0345,16.86056,18.00447
340,Switzerland,7167,"Communicable, maternal, perinatal and nutritional conditions",24.20015,14.55093,14.94245
341,Syrian Arab Republic,16411,"Communicable, maternal, perinatal and nutritional conditions",48.72772,37.34238,40.63603
342,Tajikistan,6216,"Communicable, maternal, perinatal and nutritional conditions",216.1477,132.1071,108.7337
343,Thailand,62958,"Communicable, maternal, perinatal and nutritional conditions",172.8222,119.8451,100.6695
344,The former Yugoslav Republic of Macedonia,2035,"Communicable, maternal, perinatal and nutritional conditions",32.446,20.67091,22.04662
345,Timor-Leste,872,"Communicable, maternal, perinatal and nutritional conditions",592.5546,306.383,332.1747
346,Togo,4970,"Communicable, maternal, perinatal and nutritional conditions",823.6613,673.0318,523.798
347,Tonga,98,"Communicable, maternal, perinatal and nutritional conditions",94.75806,80.40535,73.56052
348,Trinidad and Tobago,1268,"Communicable, maternal, perinatal and nutritional conditions",125.8714,80.191,77.0909
349,Tunisia,9699,"Communicable, maternal, perinatal and nutritional conditions",81.90887,58.81497,48.24423
350,Turkey,63240,"Communicable, maternal, perinatal and nutritional conditions",62.11071,34.57366,25.75066
351,Turkmenistan,4516,"Communicable, maternal, perinatal and nutritional conditions",169.5292,130.6573,98.65736
