,Country,Population,variable,2000,2010,2016
18837,United Arab Emirates,3155,"Endocrine, blood, immune disorders",4.641496,3.883266,3.497659
18838,United Kingdom,58951,"Endocrine, blood, immune disorders",3.326928,2.983294,2.839206
18839,United Republic of Tanzania,34178,"Endocrine, blood, immune disorders",8.435684,6.609997,6.445562
18840,United States of America,281983,"Endocrine, blood, immune disorders",6.782434,7.122839,8.647323
18841,Uruguay,3321,"Endocrine, blood, immune disorders",5.195985,6.450105,6.591802
18842,Uzbekistan,24849,"Endocrine, blood, immune disorders",1.075557,1.081549,0.8831934
18843,Vanuatu,185,"Endocrine, blood, immune disorders",4.377258,4.205501,4.043428
18844,Venezuela (Bolivarian Republic of),24488,"Endocrine, blood, immune disorders",4.711267,3.270876,3.215516
18845,Viet Nam,80286,"Endocrine, blood, immune disorders",2.514881,2.394535,2.330999
18846,Yemen,17875,"Endocrine, blood, immune disorders",5.856268,5.758886,5.642209
18847,Zambia,10531,"Endocrine, blood, immune disorders",9.307009,7.304751,6.482283
18848,Zimbabwe,12222,"Endocrine, blood, immune disorders",8.91854,9.44393,8.505277
18849,Afghanistan,20094,Thalassaemias,0.1071749,0.0916019,0.0829366
18850,Albania,3122,Thalassaemias,0.2177598,0.173791,0.129262
18851,Algeria,31184,Thalassaemias,0.2028893,0.1288152,0.1240667
18852,Angola,16441,Thalassaemias,0.0036112,0.0031824,0.0022283
18853,Antigua and Barbuda,84,Thalassaemias,0.0634479,0.0582539,0.0703923
18854,Argentina,37057,Thalassaemias,0.0886872,0.08459,0.0678597
18855,Armenia,3070,Thalassaemias,0.0422869,0.0248403,0.0166152
18856,Australia,19066,Thalassaemias,0.0319618,0.0170518,0.0170112
18857,Austria,8069,Thalassaemias,0.0134511,0.015777,0.013684
18858,Azerbaijan,8123,Thalassaemias,1.771372,1.057629,0.7181361
18859,Bahamas,298,Thalassaemias,0.0168524,0.0361944,0.0222852
18860,Bahrain,665,Thalassaemias,0.076238,0.0639185,0.0518089
18861,Bangladesh,131581,Thalassaemias,0.2313826,0.1829104,0.1150083
18862,Barbados,270,Thalassaemias,0.0233473,0.0281985,0.0145352
18863,Belarus,9934,Thalassaemias,0.0567533,0.0339941,0.0198185
18864,Belgium,10282,Thalassaemias,0.0182287,0.0140218,0.0128906
18865,Belize,247,Thalassaemias,0.0125526,0.0129733,0.0080019
18866,Benin,6866,Thalassaemias,0.0138966,0.0106442,0.0106362
18867,Bhutan,573,Thalassaemias,0.0355391,0.0235233,0.0189199
18868,Bolivia (Plurinational State of),8340,Thalassaemias,0.0387952,0.0266789,0.0224249
18869,Bosnia and Herzegovina,3767,Thalassaemias,0.0133538,0.0098113,0.0060446
18870,Botswana,1728,Thalassaemias,0.0038022,0.0032061,0.0025186
18871,Brazil,175288,Thalassaemias,0.076433,0.0552249,0.0433907
18872,Brunei Darussalam,333,Thalassaemias,0.1104278,0.1015636,0.0951711
18873,Bulgaria,7998,Thalassaemias,0.1068681,0.0773424,0.0548476
18874,Burkina Faso,11608,Thalassaemias,0.0055385,0.0042109,0.0042617
18875,Burundi,6401,Thalassaemias,0.0228059,0.0304738,0.0274429
18876,Cambodia,12152,Thalassaemias,0.676745,0.3151781,0.2107348
18877,Cameroon,15274,Thalassaemias,0.0798042,0.076413,0.0618054
18878,Canada,30736,Thalassaemias,0.0250428,0.0155729,0.0182955
18879,Cape Verde,435,Thalassaemias,0.011869,0.0091689,0.0060177
18880,Central African Republic,3755,Thalassaemias,0.0015095,0.0020154,0.0020067
18881,Chad,8343,Thalassaemias,0.1020617,0.0917968,0.0793808
18882,Chile,15263,Thalassaemias,0.0286868,0.0289325,0.0312688
18883,China,1290291,Thalassaemias,0.2687282,0.1346585,0.1042043
18884,Colombia,40404,Thalassaemias,0.035953,0.0299011,0.0291527
18885,Comoros,542,Thalassaemias,0.0443211,0.0474081,0.0414638
18886,Congo,3226,Thalassaemias,0.0033448,0.0020839,0.0021479
18887,Costa Rica,3925,Thalassaemias,0.0914438,0.0794565,0.065652
18888,Côte d'Ivoire,16687,Thalassaemias,0.2252087,0.2374391,0.2637662
18889,Croatia,4428,Thalassaemias,0.0072277,0.0167349,0.0164471
18890,Cuba,11151,Thalassaemias,0.043428,0.0338174,0.0325299
18891,Cyprus,943,Thalassaemias,0.1605125,0.0993006,0.1246391
18892,Czechia,10290,Thalassaemias,0.0170688,0.0093019,0.0120195
18893,Democratic People's Republic of Korea,22929,Thalassaemias,0.6067016,0.443207,0.3335601
18894,Democratic Republic of the Congo,47076,Thalassaemias,0.0013016,0.0013541,0.0015001
18895,Denmark,5341,Thalassaemias,0.0464497,0.0261068,0.0272498
18896,Djibouti,718,Thalassaemias,0.0128779,0.0117409,0.0105204
18897,Dominican Republic,8563,Thalassaemias,0.079728,0.0597582,0.0569494
18898,Ecuador,12629,Thalassaemias,0.0300885,0.0203547,0.0189937
18899,Egypt,69906,Thalassaemias,0.1335724,0.0895128,0.0610017
18900,El Salvador,5868,Thalassaemias,0.0259524,0.0132251,0.0112936
18901,Equatorial Guinea,614,Thalassaemias,0.0014314,0.0013311,0.0010792
18902,Eritrea,3393,Thalassaemias,0.0090055,0.0060167,0.004823
18903,Estonia,1399,Thalassaemias,0.0594107,0.0091705,0.0127358
18904,Ethiopia,66537,Thalassaemias,0.900849,0.5316277,0.4306224
18905,Fiji,811,Thalassaemias,0.2063039,0.1790551,0.1453205
18906,Finland,5188,Thalassaemias,0.0431473,0.0270435,0.0220708
18907,France,59608,Thalassaemias,0.0179381,0.0109322,0.0098315
18908,Gabon,1231,Thalassaemias,0.0022217,0.002723,0.0021074
18909,Gambia,1232,Thalassaemias,0.0953958,0.0670862,0.0564706
18910,Georgia,4722,Thalassaemias,0.0646303,0.0367084,0.0237888
18911,Germany,81488,Thalassaemias,0.0213076,0.0144263,0.0143834
18912,Ghana,18939,Thalassaemias,0.0012111,0.0009348,0.0008677
18913,Greece,11142,Thalassaemias,0.2468687,0.1825117,0.2558601
18914,Grenada,102,Thalassaemias,0.0307694,0.0395969,0.0801757
18915,Guatemala,11651,Thalassaemias,0.022864,0.0211596,0.0149773
18916,Guinea,8809,Thalassaemias,0.0275937,0.0201565,0.0171414
18917,Guinea-Bissau,1243,Thalassaemias,0.5077954,0.4058448,0.3117674
18918,Guyana,753,Thalassaemias,0.0451852,0.0494508,0.0455693
18919,Haiti,8549,Thalassaemias,0.0619031,0.0589889,0.058208
18920,Honduras,6524,Thalassaemias,0.0273678,0.0174554,0.0147843
18921,Hungary,10221,Thalassaemias,0.0195766,0.0161614,0.0147451
18922,Iceland,280,Thalassaemias,0.0275014,0.0269055,0.0606937
18923,India,1053051,Thalassaemias,0.027446,0.0219756,0.0169779
18924,Indonesia,211540,Thalassaemias,0.3685652,0.262676,0.2167847
18925,Iran (Islamic Republic of),66132,Thalassaemias,0.2778925,0.1157532,0.0759172
18926,Iraq,23565,Thalassaemias,0.2428412,0.2057693,0.1605701
18927,Ireland,3849,Thalassaemias,0.0287417,0.0228223,0.024521
18928,Israel,6014,Thalassaemias,0.02101,0.0119614,0.0108439
18929,Italy,57294,Thalassaemias,0.1907762,0.1594655,0.1673666
18930,Jamaica,2657,Thalassaemias,0.0121141,0.014833,0.0137936
18931,Japan,127534,Thalassaemias,0.1208514,0.0844806,0.089682
18932,Jordan,5103,Thalassaemias,0.0566703,0.0351001,0.0280169
18933,Kazakhstan,15057,Thalassaemias,0.1502016,0.0846769,0.0369663
18934,Kenya,31450,Thalassaemias,0.0019766,0.0011729,0.001078
18935,Kiribati,84,Thalassaemias,0.1628045,0.1867029,0.1780691
18936,Kuwait,2051,Thalassaemias,0.046367,0.0175848,0.0231792
18937,Kyrgyzstan,4921,Thalassaemias,0.15575,0.0529914,0.0315432
18938,Lao People's Democratic Republic,5329,Thalassaemias,0.7686733,0.5185619,0.4526304
18939,Latvia,2384,Thalassaemias,0.0117162,0.0054221,0.0106067
18940,Lebanon,3235,Thalassaemias,0.0947587,0.0450579,0.0344355
18941,Lesotho,1869,Thalassaemias,0.0030507,0.0046396,0.0043797
18942,Liberia,2885,Thalassaemias,0.5470387,0.3201045,0.2449537
18943,Libya,5356,Thalassaemias,0.0836114,0.0510178,0.0417182
18944,Lithuania,3502,Thalassaemias,0.0470745,0.0191856,0.0141213
18945,Luxembourg,436,Thalassaemias,0.0254669,0.0434079,0.0365026
18946,Madagascar,15767,Thalassaemias,0.008999,0.0068349,0.0045142
18947,Malawi,11376,Thalassaemias,0.0461977,0.0296319,0.0208081
18948,Malaysia,23186,Thalassaemias,0.0760598,0.0514952,0.062464
18949,Maldives,280,Thalassaemias,0.4594465,0.1968662,0.130049
18950,Mali,10968,Thalassaemias,0.0183855,0.0124129,0.0088019
18951,Malta,397,Thalassaemias,0.0354607,0.0540902,0.0763303
18952,Mauritania,2709,Thalassaemias,0.2088461,0.2226584,0.1616551
18953,Mauritius,1185,Thalassaemias,0.1213274,0.2766659,0.0999358
18954,Mexico,101720,Thalassaemias,0.0635414,0.0586259,0.0495461
18955,Micronesia (Federated States of),107,Thalassaemias,0.0890205,0.0882808,0.072337
18956,Mongolia,2397,Thalassaemias,0.3108141,0.1095366,0.0604525
18957,Montenegro,614,Thalassaemias,0.017325,0.0093023,0.0078322
18958,Morocco,28850,Thalassaemias,0.2274197,0.1514543,0.1274977
18959,Mozambique,18068,Thalassaemias,0.1028697,0.0678113,0.0576206
18960,Myanmar,46095,Thalassaemias,0.7155931,0.5405157,0.446638
18961,Namibia,1899,Thalassaemias,0.0047736,0.0057487,0.005031
18962,Nepal,23741,Thalassaemias,0.0228148,0.0140682,0.0109225
18963,Netherlands,15926,Thalassaemias,0.0263029,0.0187787,0.022464
18964,New Zealand,3859,Thalassaemias,0.0340439,0.0220062,0.0254873
18965,Nicaragua,5027,Thalassaemias,0.0888994,0.0683987,0.0566962
18966,Niger,11353,Thalassaemias,0.1172598,0.0807762,0.0624229
18967,Nigeria,122352,Thalassaemias,0.0018405,0.0013231,0.0011236
18968,Norway,4499,Thalassaemias,0.0324809,0.0347499,0.0283913
18969,Oman,2268,Thalassaemias,0.0094335,0.0059046,0.0055187
18970,Pakistan,138523,Thalassaemias,0.8483216,1.037786,0.9539538
18971,Panama,3030,Thalassaemias,0.0673805,0.0783834,0.0544151
18972,Papua New Guinea,5572,Thalassaemias,0.0753829,0.0808884,0.0705978
18973,Paraguay,5303,Thalassaemias,0.0208752,0.0140855,0.0122603
18974,Peru,25915,Thalassaemias,0.0266184,0.0146179,0.0121113
18975,Philippines,77992,Thalassaemias,0.2004721,0.1732069,0.1477763
18976,Poland,38551,Thalassaemias,0.0247427,0.0150871,0.020329
18977,Portugal,10355,Thalassaemias,0.0255452,0.0123817,0.0123005
18978,Qatar,592,Thalassaemias,0.0107467,0.0060899,0.0043414
18979,Republic of Korea,47386,Thalassaemias,0.0588458,0.0458864,0.0439631
18980,Republic of Moldova,4201,Thalassaemias,0.0449047,0.0076061,0.0085478
18981,Romania,22128,Thalassaemias,0.0122608,0.0060617,0.0039889
18982,Russian Federation,146397,Thalassaemias,0.022995,0.0251216,0.0189565
18983,Rwanda,8026,Thalassaemias,0.0445748,0.0194814,0.0128194
18984,Saint Lucia,157,Thalassaemias,0.0491776,0.0223982,0.0202393
18985,Saint Vincent and the Grenadines,108,Thalassaemias,0.0553698,0.0666677,0.0335601
18986,Samoa,175,Thalassaemias,0.0385078,0.0302835,0.0278836
18987,Sao Tome and Principe,139,Thalassaemias,0.0699425,0.047027,0.0370335
18988,Saudi Arabia,20764,Thalassaemias,0.0178276,0.0116099,0.0101593
18989,Senegal,9884,Thalassaemias,0.0252533,0.0105701,0.0063108
18990,Serbia,9488,Thalassaemias,0.0135914,0.0089094,0.0061861
18991,Seychelles,81,Thalassaemias,0.3058585,0.2813692,0.2913922
18992,Sierra Leone,4564,Thalassaemias,0.0345653,0.0220783,0.01866
18993,Singapore,3914,Thalassaemias,0.1109416,0.0322,0.0210274
18994,Slovakia,5399,Thalassaemias,0.0137372,0.0055312,0.0121631
18995,Slovenia,1988,Thalassaemias,0.0229574,0.0112081,0.0100368
18996,Solomon Islands,413,Thalassaemias,0.0467487,0.0426677,0.0372647
18997,Somalia,9011,Thalassaemias,0.0487878,0.0408136,0.0470378
18998,South Africa,45728,Thalassaemias,0.0028825,0.0054441,0.0055066
18999,South Sudan,6701,Thalassaemias,0.0183358,0.0119677,0.0094091
19000,Spain,40904,Thalassaemias,0.0202682,0.0128514,0.0132541
19001,Sri Lanka,18782,Thalassaemias,0.1024687,0.0545663,0.0612798
19002,Sudan,27251,Thalassaemias,0.36513,0.3068483,0.2755039
19003,Suriname,472,Thalassaemias,0.0382716,0.0289143,0.0302685
19004,Swaziland,1061,Thalassaemias,0.0058002,0.0077965,0.0066957
19005,Sweden,8882,Thalassaemias,0.0322335,0.0184128,0.0346345
19006,Switzerland,7167,Thalassaemias,0.0746185,0.0294896,0.0381234
19007,Syrian Arab Republic,16411,Thalassaemias,0.240459,0.2020636,0.1767871
19008,Tajikistan,6216,Thalassaemias,0.7155172,0.2935376,0.205976
19009,Thailand,62958,Thalassaemias,0.4687348,0.1378847,0.1244083
19010,The former Yugoslav Republic of Macedonia,2035,Thalassaemias,0.0202436,0.0069307,0.0153105
19011,Timor-Leste,872,Thalassaemias,0.7169584,0.4092563,0.3120438
19012,Togo,4970,Thalassaemias,0.008857,0.0072819,0.0074417
19013,Tonga,98,Thalassaemias,0.0347764,0.0352238,0.0336078
19014,Trinidad and Tobago,1268,Thalassaemias,0.0163436,0.0338329,0.0256708
19015,Tunisia,9699,Thalassaemias,0.2098262,0.1052486,0.0779584
19016,Turkey,63240,Thalassaemias,0.4640878,0.1632057,0.0820584
19017,Turkmenistan,4516,Thalassaemias,0.6677723,0.4689826,0.3404554
19018,Uganda,24039,Thalassaemias,0.0046596,0.0030869,0.0040722
19019,Ukraine,48840,Thalassaemias,0.0432932,0.0275507,0.0211078
19020,United Arab Emirates,3155,Thalassaemias,0.0796684,0.0509273,0.0427836
19021,United Kingdom,58951,Thalassaemias,0.0233805,0.0182706,0.0170535
19022,United Republic of Tanzania,34178,Thalassaemias,0.0064081,0.0034312,0.003108
19023,United States of America,281983,Thalassaemias,0.0546279,0.0458262,0.0560283
19024,Uruguay,3321,Thalassaemias,0.0622844,0.0451808,0.0344118
19025,Uzbekistan,24849,Thalassaemias,0.1347258,0.0446829,0.0297355
19026,Vanuatu,185,Thalassaemias,0.0482413,0.0435303,0.0404675
19027,Venezuela (Bolivarian Republic of),24488,Thalassaemias,0.032119,0.0206111,0.0180297
19028,Viet Nam,80286,Thalassaemias,0.5438564,0.3590269,0.3179079
19029,Yemen,17875,Thalassaemias,0.5319938,0.3480851,0.3333139
19030,Zambia,10531,Thalassaemias,0.003157,0.0021857,0.0021833
19031,Zimbabwe,12222,Thalassaemias,0.0079704,0.0091028,0.0069058
19032,Afghanistan,20094,Sickle cell disorders and trait,2.156517,2.011067,1.931832
19033,Albania,3122,Sickle cell disorders and trait,0.1420196,0.14837,0.1175962
19034,Algeria,31184,Sickle cell disorders and trait,0.3211624,0.1908505,0.1917418
19035,Angola,16441,Sickle cell disorders and trait,5.142976,3.63683,2.480188
19036,Antigua and Barbuda,84,Sickle cell disorders and trait,1.40121,1.859494,2.587451
19037,Argentina,37057,Sickle cell disorders and trait,0.0710546,0.0686131,0.0919455
19038,Armenia,3070,Sickle cell disorders and trait,0.0381708,0.0351566,0.0292748
19039,Australia,19066,Sickle cell disorders and trait,0.0125049,0.0074738,0.0103419
19040,Austria,8069,Sickle cell disorders and trait,0.0205211,0.0298045,0.0308165
19041,Azerbaijan,8123,Sickle cell disorders and trait,0.2971525,0.2096718,0.1756228
19042,Bahamas,298,Sickle cell disorders and trait,1.114642,0.8924384,0.7310584
19043,Bahrain,665,Sickle cell disorders and trait,4.994804,3.114164,2.934556
19044,Bangladesh,131581,Sickle cell disorders and trait,0.6608836,0.5258433,0.3551329
19045,Barbados,270,Sickle cell disorders and trait,0.754882,0.7664544,0.779852
19046,Belarus,9934,Sickle cell disorders and trait,0.063374,0.0496595,0.0357393
19047,Belgium,10282,Sickle cell disorders and trait,0.0996409,0.067441,0.0863589
19048,Belize,247,Sickle cell disorders and trait,0.9098695,0.6773647,0.59965
19049,Benin,6866,Sickle cell disorders and trait,18.35201,15.29705,14.40082
19050,Bhutan,573,Sickle cell disorders and trait,0.831364,0.5828112,0.5145279
19051,Bolivia (Plurinational State of),8340,Sickle cell disorders and trait,0.8625861,0.6559126,0.5619631
19052,Bosnia and Herzegovina,3767,Sickle cell disorders and trait,0.0325429,0.0274228,0.0286563
19053,Botswana,1728,Sickle cell disorders and trait,0.0553647,0.0457838,0.036917
19054,Brazil,175288,Sickle cell disorders and trait,0.4134488,0.3605195,0.3471652
19055,Brunei Darussalam,333,Sickle cell disorders and trait,0.0824841,0.0855936,0.1444718
19056,Bulgaria,7998,Sickle cell disorders and trait,0.0641778,0.0606253,0.0806012
19057,Burkina Faso,11608,Sickle cell disorders and trait,20.46503,17.29451,16.48478
19058,Burundi,6401,Sickle cell disorders and trait,2.267596,2.491358,2.424888
19059,Cambodia,12152,Sickle cell disorders and trait,0.0014758,0.0010402,0.000925
19060,Cameroon,15274,Sickle cell disorders and trait,14.47974,10.94606,10.13732
19061,Canada,30736,Sickle cell disorders and trait,0.0305461,0.0258426,0.0331353
19062,Cape Verde,435,Sickle cell disorders and trait,1.102595,0.8182244,0.6748051
19063,Central African Republic,3755,Sickle cell disorders and trait,4.202691,4.844994,4.024098
19064,Chad,8343,Sickle cell disorders and trait,9.156109,8.787848,8.441478
19065,Chile,15263,Sickle cell disorders and trait,0.0257066,0.029811,0.046761
19066,China,1290291,Sickle cell disorders and trait,0.0008746,0.0005733,0.0005362
19067,Colombia,40404,Sickle cell disorders and trait,0.3161802,0.3211554,0.4389774
19068,Comoros,542,Sickle cell disorders and trait,1.37175,1.345511,1.308157
19069,Congo,3226,Sickle cell disorders and trait,3.329446,2.184994,1.763304
19070,Costa Rica,3925,Sickle cell disorders and trait,0.1536493,0.1657865,0.1898509
19071,Côte d'Ivoire,16687,Sickle cell disorders and trait,7.788506,9.769594,10.27327
19072,Croatia,4428,Sickle cell disorders and trait,0.0173523,0.0240137,0.0377801
19073,Cuba,11151,Sickle cell disorders and trait,0.3314858,0.2601067,0.301814
19074,Cyprus,943,Sickle cell disorders and trait,0.0070877,0.0049391,0.0064256
19075,Czechia,10290,Sickle cell disorders and trait,0.0179271,0.0222027,0.0249952
19076,Democratic People's Republic of Korea,22929,Sickle cell disorders and trait,0.0015865,0.0015174,0.0012881
19077,Democratic Republic of the Congo,47076,Sickle cell disorders and trait,4.459217,3.613907,3.670067
19078,Denmark,5341,Sickle cell disorders and trait,0.0156334,0.0117197,0.0143571
19079,Djibouti,718,Sickle cell disorders and trait,2.15571,1.683701,1.726461
19080,Dominican Republic,8563,Sickle cell disorders and trait,1.379084,1.000434,1.127968
19081,Ecuador,12629,Sickle cell disorders and trait,0.5294163,0.4317051,0.4165618
19082,Egypt,69906,Sickle cell disorders and trait,0.7283837,0.645968,0.6574605
19083,El Salvador,5868,Sickle cell disorders and trait,0.2415741,0.1815508,0.2160617
19084,Equatorial Guinea,614,Sickle cell disorders and trait,5.6441,5.109193,4.517325
19085,Eritrea,3393,Sickle cell disorders and trait,2.203434,1.404275,1.170125
19086,Estonia,1399,Sickle cell disorders and trait,0.0705485,0.0238458,0.0327324
19087,Ethiopia,66537,Sickle cell disorders and trait,0.9348537,0.5839355,0.5078748
19088,Fiji,811,Sickle cell disorders and trait,0.0010096,0.001653,0.0022075
19089,Finland,5188,Sickle cell disorders and trait,0.01545,0.0103713,0.0122794
19090,France,59608,Sickle cell disorders and trait,0.1966135,0.1526889,0.1525916
19091,Gabon,1231,Sickle cell disorders and trait,1.604059,1.599295,1.42043
19092,Gambia,1232,Sickle cell disorders and trait,8.850692,5.859959,5.323783
19093,Georgia,4722,Sickle cell disorders and trait,0.1409004,0.2053192,0.2128801
19094,Germany,81488,Sickle cell disorders and trait,0.0009563,0.0011212,0.0013879
19095,Ghana,18939,Sickle cell disorders and trait,8.254165,6.608696,6.945938
19096,Greece,11142,Sickle cell disorders and trait,0.02213,0.0184633,0.0238239
19097,Grenada,102,Sickle cell disorders and trait,1.324326,3.31508,4.512453
19098,Guatemala,11651,Sickle cell disorders and trait,0.3428717,0.4099585,0.4118241
19099,Guinea,8809,Sickle cell disorders and trait,13.63083,12.12837,10.83462
19100,Guinea-Bissau,1243,Sickle cell disorders and trait,5.017955,3.621655,2.797741
19101,Guyana,753,Sickle cell disorders and trait,3.543913,2.375493,2.47246
19102,Haiti,8549,Sickle cell disorders and trait,3.498266,3.794766,4.169637
19103,Honduras,6524,Sickle cell disorders and trait,0.2377567,0.2035453,0.2363675
19104,Hungary,10221,Sickle cell disorders and trait,0.0267444,0.032851,0.0467943
19105,Iceland,280,Sickle cell disorders and trait,0.0076258,0.0086867,0.0141643
19106,India,1053051,Sickle cell disorders and trait,1.417131,0.6025728,0.3237782
19107,Indonesia,211540,Sickle cell disorders and trait,0.0016634,0.0016301,0.0018489
19108,Iran (Islamic Republic of),66132,Sickle cell disorders and trait,0.3794771,0.1807464,0.1117089
19109,Iraq,23565,Sickle cell disorders and trait,0.8791129,0.7896198,0.7007299
19110,Ireland,3849,Sickle cell disorders and trait,0.0123624,0.0146102,0.0152539
19111,Israel,6014,Sickle cell disorders and trait,0.201999,0.1640731,0.1905959
19112,Italy,57294,Sickle cell disorders and trait,0.0006173,0.0005547,0.0006244
19113,Jamaica,2657,Sickle cell disorders and trait,1.470893,1.179262,1.182556
19114,Japan,127534,Sickle cell disorders and trait,0.0202287,0.0155998,0.0184652
19115,Jordan,5103,Sickle cell disorders and trait,0.6284298,0.4546864,0.4249115
19116,Kazakhstan,15057,Sickle cell disorders and trait,0.1640158,0.1480778,0.1058262
19117,Kenya,31450,Sickle cell disorders and trait,2.046228,1.306529,1.202012
19118,Kiribati,84,Sickle cell disorders and trait,0.0006648,0.0006766,0.000604
19119,Kuwait,2051,Sickle cell disorders and trait,0.2435268,0.239532,0.3055563
19120,Kyrgyzstan,4921,Sickle cell disorders and trait,0.0865016,0.0789245,0.0733071
19121,Lao People's Democratic Republic,5329,Sickle cell disorders and trait,0.0022297,0.0018045,0.0018578
19122,Latvia,2384,Sickle cell disorders and trait,0.0088986,0.0248656,0.0401762
19123,Lebanon,3235,Sickle cell disorders and trait,0.2396284,0.1869097,0.217732
19124,Lesotho,1869,Sickle cell disorders and trait,0.1801821,0.2322555,0.2265261
19125,Liberia,2885,Sickle cell disorders and trait,4.696042,2.997965,2.594033
19126,Libya,5356,Sickle cell disorders and trait,0.7468395,0.5667309,0.5584841
19127,Lithuania,3502,Sickle cell disorders and trait,0.030558,0.0649383,0.0325167
19128,Luxembourg,436,Sickle cell disorders and trait,0.0127849,0.0140438,0.0138597
19129,Madagascar,15767,Sickle cell disorders and trait,1.851558,1.310635,1.109657
19130,Malawi,11376,Sickle cell disorders and trait,2.247346,1.056897,0.8450376
19131,Malaysia,23186,Sickle cell disorders and trait,0.0012969,0.0010559,0.0014747
19132,Maldives,280,Sickle cell disorders and trait,0.001576,0.0008947,0.0007543
19133,Mali,10968,Sickle cell disorders and trait,11.2956,7.802364,6.637602
19134,Malta,397,Sickle cell disorders and trait,0.0026782,0.0209295,0.0337082
19135,Mauritania,2709,Sickle cell disorders and trait,3.470305,3.179154,2.772452
19136,Mauritius,1185,Sickle cell disorders and trait,0.0013046,0.0028967,0.0034738
19137,Mexico,101720,Sickle cell disorders and trait,0.0837878,0.0901434,0.1163741
19138,Micronesia (Federated States of),107,Sickle cell disorders and trait,0.0004136,0.0004222,0.0003627
19139,Mongolia,2397,Sickle cell disorders and trait,0.1872831,0.1073155,0.0870389
19140,Montenegro,614,Sickle cell disorders and trait,0.0206995,0.012835,0.0152023
19141,Morocco,28850,Sickle cell disorders and trait,0.3039712,0.1462051,0.1211462
19142,Mozambique,18068,Sickle cell disorders and trait,1.623063,1.197057,0.9959673
19143,Myanmar,46095,Sickle cell disorders and trait,0.0036372,0.0031342,0.0031759
19144,Namibia,1899,Sickle cell disorders and trait,0.2061094,0.1988213,0.1629819
19145,Nepal,23741,Sickle cell disorders and trait,0.6606655,0.4105904,0.3210524
19146,Netherlands,15926,Sickle cell disorders and trait,0.0266508,0.023065,0.0360178
19147,New Zealand,3859,Sickle cell disorders and trait,0.0069613,0.0052626,0.0068515
19148,Nicaragua,5027,Sickle cell disorders and trait,0.5845993,0.5074974,0.5206835
19149,Niger,11353,Sickle cell disorders and trait,10.96219,8.517596,7.058947
19150,Nigeria,122352,Sickle cell disorders and trait,19.68456,15.20752,14.62934
19151,Norway,4499,Sickle cell disorders and trait,0.0151489,0.0132417,0.0128244
19152,Oman,2268,Sickle cell disorders and trait,0.8538817,0.5228951,0.4809383
19153,Pakistan,138523,Sickle cell disorders and trait,0.0734562,0.0744079,0.0768876
19154,Panama,3030,Sickle cell disorders and trait,0.6247868,0.4193505,0.5410925
19155,Papua New Guinea,5572,Sickle cell disorders and trait,0.0003064,0.0002688,0.0002854
19156,Paraguay,5303,Sickle cell disorders and trait,0.3417557,0.28099,0.2786105
19157,Peru,25915,Sickle cell disorders and trait,0.2909784,0.2135589,0.2217211
19158,Philippines,77992,Sickle cell disorders and trait,0.005445,0.0056252,0.0052939
19159,Poland,38551,Sickle cell disorders and trait,0.0392855,0.0347706,0.0453393
19160,Portugal,10355,Sickle cell disorders and trait,0.0337013,0.0189379,0.0256368
19161,Qatar,592,Sickle cell disorders and trait,0.1902891,0.123157,0.0938133
19162,Republic of Korea,47386,Sickle cell disorders and trait,0.0430765,0.0371227,0.0447641
19163,Republic of Moldova,4201,Sickle cell disorders and trait,0.0721771,0.0360608,0.0228668
19164,Romania,22128,Sickle cell disorders and trait,0.0246646,0.0156651,0.0143447
19165,Russian Federation,146397,Sickle cell disorders and trait,0.0349819,0.0432658,0.0366334
19166,Rwanda,8026,Sickle cell disorders and trait,2.935148,1.114015,0.7993145
19167,Saint Lucia,157,Sickle cell disorders and trait,2.248186,2.044748,2.825452
19168,Saint Vincent and the Grenadines,108,Sickle cell disorders and trait,0.9136465,2.817102,2.05907
19169,Samoa,175,Sickle cell disorders and trait,0.0002201,0.0001524,0.0001369
19170,Sao Tome and Principe,139,Sickle cell disorders and trait,3.972215,2.893643,2.73713
19171,Saudi Arabia,20764,Sickle cell disorders and trait,0.4815613,0.4232495,0.3455166
19172,Senegal,9884,Sickle cell disorders and trait,9.99951,5.443727,3.485087
19173,Serbia,9488,Sickle cell disorders and trait,0.0241773,0.0245331,0.0256531
19174,Seychelles,81,Sickle cell disorders and trait,0.0039272,0.0041055,0.0048327
19175,Sierra Leone,4564,Sickle cell disorders and trait,33.54712,22.225,20.38904
19176,Singapore,3914,Sickle cell disorders and trait,0.0731775,0.0150676,0.0064733
19177,Slovakia,5399,Sickle cell disorders and trait,0.0188032,0.0103034,0.0335328
19178,Slovenia,1988,Sickle cell disorders and trait,0.028007,0.0134448,0.0262216
19179,Solomon Islands,413,Sickle cell disorders and trait,0.0003635,0.0002129,0.000161
19180,Somalia,9011,Sickle cell disorders and trait,2.588664,2.543308,2.5319
19181,South Africa,45728,Sickle cell disorders and trait,0.0320511,0.0587595,0.0585462
19182,South Sudan,6701,Sickle cell disorders and trait,2.485899,1.750909,1.489997
19183,Spain,40904,Sickle cell disorders and trait,0.0421101,0.034891,0.0411354
19184,Sri Lanka,18782,Sickle cell disorders and trait,0.0012364,0.0006143,0.0009405
19185,Sudan,27251,Sickle cell disorders and trait,2.03681,1.723761,1.597398
19186,Suriname,472,Sickle cell disorders and trait,1.176979,0.9868921,0.8859966
